codigos,nome,classe,qtd,part
ALOS3,ALLOS,ON      NM,476976044,0.434
ABEV3,AMBEV S/A,ON,4394835131,2.468
ASAI3,ASSAI,ON      NM,1345832968,0.385
AURE3,AUREN,ON      NM,323738747,0.127
AMOB3,AUTOMOB,ON      NM,533959816,0.009
AZUL4,AZUL,PN      N2,326872005,0.076
AZZA3,AZZAS 2154,ON      NM,136643320,0.211
B3SA3,B3,ON      NM,5392540963,2.807
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.208
BBDC3,BRADESCO,ON      N1,1484426957,0.812
BBDC4,BRADESCO,PN      N1,5129958973,3.049
BRAP4,BRADESPAR,PN      N1,250969312,0.207
BBAS3,BRASIL,ON      NM,2842613858,3.656
BRKM5,BRASKEM,PNA     N1,265388400,0.165
BRAV3,BRAVA,ON      NM,460791208,0.591
BRFS3,BRF SA,ON      NM,814523002,0.928
BPAC11,BTGP BANCO,UNT     N2,1287247964,1.966
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.373
CRFB3,CARREFOUR BR,ON      NM,532664283,0.15
CCRO3,CCR SA,ON      NM,991920937,0.522
CMIG4,CEMIG,PN      N1,1858636840,0.968
COGN3,COGNA ON,ON      NM,1872454628,0.117
CPLE6,COPEL,PNB     N2,1679233590,0.763
CSAN3,COSAN,ON      NM,1150987430,0.503
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.311
CMIN3,CSNMINERACAO,ON      N2,1646519336,0.406
CVCB3,CVC BRASIL,ON      NM,525591097,0.045
CYRE3,CYRELA REALT,ON      NM,273755006,0.246
ELET3,ELETROBRAS,ON      N1,1977170723,3.455
ELET6,ELETROBRAS,PNB     N1,268875696,0.522
EMBR3,EMBRAER,ON      NM,734631801,2.239
ENGI11,ENERGISA,UNT     N2,326175300,0.595
ENEV3,ENEVA,ON      NM,1929556616,1.056
EGIE3,ENGIE BRASIL,ON      NM,255236938,0.456
EQTL3,EQUATORIAL,ON  EJS NM,1253541010,1.751
FLRY3,FLEURY,ON      NM,455988366,0.262
GGBR4,GERDAU,PN      N1,1242683687,1.087
GOAU4,GERDAU MET,PN      N1,649238303,0.314
NTCO3,GRUPO NATURA,ON      NM,850935197,0.544
HAPV3,HAPVIDA,ON      NM,4779395040,0.574
HYPE3,HYPERA,ON      NM,370735677,0.34
IGTI11,IGUATEMI S.A,UNT     N1,211783588,0.184
IRBR3,IRBBRASIL RE,ON      NM,81838243,0.208
ISAE4,ISA ENERGIA,PN  EJ  N1,395801044,0.454
ITSA4,ITAUSA,PN      N1,5778248950,2.636
ITUB4,ITAUUNIBANCO,PN      N1,4792902422,7.802
JBSS3,JBS,ON      NM,1145962972,1.949
KLBN11,KLABIN S/A,UNT     N2,765785673,0.833
RENT3,LOCALIZA,ON      NM,965986531,1.48
LREN3,LOJAS RENNER,ON      NM,1051120777,0.661
LWSA3,LWSA,ON      NM,389635155,0.062
MGLU3,MAGAZ LUIZA,ON      NM,353448195,0.106
POMO4,MARCOPOLO,PN      N2,666378439,0.263
MRFG3,MARFRIG,ON      NM,302019876,0.233
BEEF3,MINERVA,ON      NM,261359935,0.064
MRVE3,MRV,ON      NM,377241484,0.102
MULT3,MULTIPLAN,ON      N2,314150156,0.325
PCAR3,P.ACUCAR-CBD,ON      NM,462534972,0.063
PETR3,PETROBRAS,ON      N2,2255782178,4.759
PETR4,PETROBRAS,PN      N2,4431132660,8.32
RECV3,PETRORECSA,ON      NM,275170410,0.231
PRIO3,PETRORIO,ON      NM,779999989,1.659
PETZ3,PETZ,ON      NM,293689428,0.067
PSSA3,PORTO SEGURO,ON      NM,182560698,0.345
RADL3,RAIADROGASIL,ON      NM,1286616979,1.356
RAIZ4,RAIZEN,PN      N2,1198936529,0.122
RDOR3,REDE D OR,ON      NM,1145289019,1.549
RAIL3,RUMO S.A.,ON      NM,1216914397,1.043
SBSP3,SABESP,ON      NM,683508568,3.153
SANB11,SANTANDER BR,UNT,356586730,0.453
STBP3,SANTOS BRP,ON      NM,855712622,0.566
SMTO3,SAO MARTINHO,ON      NM,128130966,0.149
CSNA3,SID NACIONAL,ON,727459637,0.288
SLCE3,SLC AGRICOLA,ON      NM,194261422,0.174
SUZB3,SUZANO S.A.,ON      NM,630821784,1.93
TAEE11,TAESA,UNT     N2,218568234,0.358
VIVT3,TELEF BRASIL,ON,382442128,0.94
TIMS3,TIM,ON      NM,807495418,0.595
TOTS3,TOTVS,ON      NM,540206440,0.78
UGPA3,ULTRAPAR,ON      NM,1090134379,0.879
USIM5,USIMINAS,PNA     N1,515193199,0.126
VALE3,VALE,ON      NM,4270903023,11.4
VAMO3,VAMOS,ON      NM,485166826,0.116
VBBR3,VIBRA,ON      NM,1023538460,0.888
VIVA3,VIVARA S.A.,ON      NM,125446075,0.121
WEGE3,WEG,ON      NM,1243177587,3.381
YDUQ3,YDUQS PART,ON      NM,277677050,0.129
